"Step","iTypeC","fCtr_A","fCtr_B","fCtr_C","fCtr_D","fCtr_E","fCtr_H_On","fCtr_S_On","fCtr_L_On","fCtr_H_Off","fCtr_S_Off","fCtr_L_Off","iTypeS","fStrb_A","fStrb_B","fStrb_C","fStrb_D","fStrb_E","lPattern","fStrb_H_On","fStrb_S_On","fStrb_L_On","fStrb_H_Off","fStrb_S_Off","fStrb_L_Off","lSeqTime","Total time","Tot Sec","Hours","Minutes","Seconds",
1,2.00,0.20,0.20,0.00,1.00,0.00,0.10,1.00,0.00,0.10,1.00,0.00,2.00,2.00,2.00,0.10,0.10,0.00,0.00,0.10,0.15,0.00,0.10,0.15,0.00,2000.00,"0:25:24.348",1524.348,0,25,24.348,
2,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,427799335.00,0.10,0.15,0.00,0.10,0.15,0.00,30000.00,,,,,,
3,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
4,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
5,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,427799335.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
6,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
7,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
8,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
9,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,427799335.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
10,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
11,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
12,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
13,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,427799335.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
14,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
15,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
16,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
17,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,427799335.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
18,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
19,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
20,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
21,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,427799335.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
22,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
23,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
24,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
25,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,427799335.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,5.8823529412,1.9411764706,3.9411764706,3941.1764705882
26,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
27,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
28,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
29,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,427799335.00,0.10,0.15,0.22,0.10,0.15,0.00,1941.00,,,,,,
30,2.00,0.17,0.17,0.33,0.20,0.00,0.10,0.80,0.30,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.00,0.10,0.15,0.00,3941.00,,,,,,
31,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.00,0.10,0.80,0.00,3.00,3.30,3.30,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,120000.00,,,,,,
32,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.00,0.10,0.80,0.00,3.00,4.40,4.40,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,120000.00,,,,,,
33,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.00,0.10,0.80,0.00,3.00,5.50,5.50,0.10,0.10,0.00,16973945.00,0.10,0.15,0.22,0.10,0.15,0.00,120000.00,,,,,,
34,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,,
35,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,,
36,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.33,9.33,0.45,0.45,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,,
37,2.00,0.17,0.17,0.30,0.02,0.00,0.10,0.80,0.00,0.10,0.80,0.00,2.00,9.33,9.33,0.45,0.65,0.00,0.00,0.10,0.15,0.22,0.10,0.15,0.00,5000.00,,,,,,
