"Step","iTypeC","fCtr_A","fCtr_B","fCtr_C","fCtr_D","fCtr_E","fCtr_H_On","fCtr_S_On","fCtr_L_On","fCtr_H_Off","fCtr_S_Off","fCtr_L_Off","iTypeS","fStrb_A","fStrb_B","fStrb_C","fStrb_D","fStrb_E","lPattern","fStrb_H_On","fStrb_S_On","fStrb_L_On","fStrb_H_Off","fStrb_S_Off","fStrb_L_Off","lSeqTime","Total time","Tot Sec","Hours","Minutes","Seconds","On","Off","On","Off","f_diff"
1,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,10.00,10.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,"0:23:20",1400,0,23,20,0.15,0.02,0.15,0,0.2
2,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,10.20,10.20,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
3,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,10.40,10.40,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
4,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,10.60,10.60,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
5,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,10.80,10.80,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
6,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,11.00,11.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
7,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,11.20,11.20,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
8,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,11.40,11.40,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
9,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,11.60,11.60,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
10,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,11.80,11.80,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
11,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,12.00,12.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
12,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,12.20,12.20,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
13,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,12.40,12.40,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
14,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,12.60,12.60,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
15,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,12.80,12.80,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
16,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,13.00,13.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
17,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,13.20,13.20,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
18,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,13.40,13.40,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
19,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,13.60,13.60,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
20,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,13.80,13.80,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
21,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,14.00,14.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
22,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,14.20,14.20,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
23,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,14.40,14.40,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
24,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,14.60,14.60,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
25,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,14.80,14.80,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,5.8823529412,1.9411764706,3.9411764706,3941.1764705882,,,,
26,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
27,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
28,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
29,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
30,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
31,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
32,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
33,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
34,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
35,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
36,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
37,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
38,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
39,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
40,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
41,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
42,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
43,4.00,5.50,5.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
44,4.00,5.60,5.60,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
45,4.00,5.70,5.70,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
46,4.00,5.80,5.80,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
47,4.00,5.90,5.90,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
48,4.00,6.00,6.00,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
49,4.00,6.10,6.10,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
50,4.00,6.20,6.20,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
51,4.00,6.30,6.30,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
52,4.00,6.40,6.40,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
53,4.00,6.50,6.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
54,4.00,6.60,6.60,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
55,4.00,6.70,6.70,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
56,4.00,6.80,6.80,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
57,4.00,6.90,6.90,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
58,4.00,7.00,7.00,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
59,4.00,7.10,7.10,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
60,4.00,7.20,7.20,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
61,4.00,7.30,7.30,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
62,4.00,7.40,7.40,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
63,4.00,7.50,7.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
64,4.00,7.60,7.60,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
65,4.00,7.70,7.70,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
66,4.00,7.80,7.80,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
67,4.00,7.90,7.90,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
68,4.00,8.00,8.00,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
69,4.00,8.10,8.10,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
70,4.00,8.20,8.20,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
71,4.00,8.30,8.30,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
72,4.00,8.40,8.40,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
73,4.00,8.50,8.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
74,4.00,8.60,8.60,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
75,4.00,8.70,8.70,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
76,4.00,8.80,8.80,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
77,4.00,8.90,8.90,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
78,4.00,9.00,9.00,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
79,4.00,9.10,9.10,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
80,4.00,9.20,9.20,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
81,4.00,9.30,9.30,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
82,4.00,9.40,9.40,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
83,4.00,9.50,9.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
84,4.00,9.60,9.60,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
85,4.00,9.70,9.70,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
86,4.00,9.80,9.80,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
87,4.00,9.90,9.90,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
88,4.00,10.00,10.00,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
89,4.00,10.10,10.10,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
90,4.00,10.20,10.20,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
91,4.00,10.30,10.30,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
92,4.00,10.40,10.40,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
93,4.00,10.50,10.50,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
94,4.00,10.60,10.60,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
95,4.00,10.70,10.70,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
96,4.00,10.80,10.80,0.10,0.10,0.00,0.10,0.80,0.20,0.10,0.80,0.00,2.00,15.00,15.00,0.10,0.10,0.00,0.00,0.10,0.15,0.20,0.10,0.15,0.00,10000.00,,,,,,,,,,
